USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
725645 24022 201501060653 200  14 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   28 1023.5 30.28  783.4  39  27  0.00 ***** ***** ***** **
725645 24022 201501060659 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  39 *** ***** *****  0.00 ***** **
725645 24022 201501060753 230  23 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   28 1023.8 30.29  783.7 *** ***  0.00 ***** ***** ***** **
725645 24022 201501060853 240  17 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   28 1024.8 30.32  784.5 *** ***  0.00 ***** ***** ***** **
725645 24022 201501060953 260  25 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   38   28 1024.2 30.32  784.5 *** ***  0.00 ***** ***** ***** **
725645 24022 201501061053 250  21  32 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   28 1024.0 30.31  784.2 *** ***  0.00 ***** ***** ***** **
725645 24022 201501061153 250  23  32 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   28 1023.7 30.29  783.7  38  35  0.00 ***** ***** ***** **
725645 24022 201501061253 230  16 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   35   27 1025.0 30.31  784.2 *** ***  0.00 ***** ***** ***** **
725645 24022 201501061353 230  14 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   34   27 1024.9 30.31  784.2 *** ***  0.00 ***** ***** ***** **
725645 24022 201501061453 230  16 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   28 1025.5 30.34  785.0 *** ***  0.00 ***** ***** ***** **
725645 24022 201501061553 250  24 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   27 1026.4 30.37  785.8 *** ***  0.00 ***** ***** ***** **
725645 24022 201501061653 240  17 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   39   28 1026.3 30.38  786.1 *** ***  0.00 ***** ***** ***** **
725645 24022 201501061753 270  22 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   40   28 1025.2 30.35  785.3  40  33  0.00 ***** ***** ***** **
725645 24022 201501061853 270  13 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   40   29 1025.0 30.34  785.0 *** ***  0.00 ***** ***** ***** **
725645 24022 201501061953 290  16  22 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   42   28 1024.2 30.33  784.8 *** ***  0.00 ***** ***** ***** **
725645 24022 201501062053 300  15 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   41   29 1024.6 30.33  784.8 *** ***  0.00 ***** ***** ***** **
725645 24022 201501062153 280  18 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   39   29 1024.7 30.34  785.0 *** ***  0.00 ***** ***** ***** **
725645 24022 201501062253 260  20 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   38   29 1025.8 30.35  785.3 *** ***  0.00 ***** ***** ***** **
725645 24022 201501062353 240  11 *** 100 *** * * * 10.0 ** ** ** ** ** ** ** ** *   37   29 1026.9 30.38  786.1  43  37  0.00 ***** ***** ***** **
725645 24022 201501070053 270  20  24  90 *** * * * 10.0 ** ** ** ** ** ** ** ** *   37   29 1027.3 30.38  786.1 *** ***  0.00 ***** ***** ***** **
725645 24022 201501070153 270  13 ***  90 *** * * * 10.0 ** ** ** ** ** ** ** ** *   37   29 1028.3 30.41  786.9 *** ***  0.00 ***** ***** ***** **
